tmass_id,sobject_id,dr3_source_id,flag_sp,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,snr_c2_iraf
08513553+1139469,140112002802068,604898009944442624,0,5572.5815,73.11737458445049,4.1165247,0.18444918716801484,-0.2751541,0.04783439459998516,0,100.049694351
08513873+1142373,140112002802076,604904297776551680,258,5974.389,72.96402336802542,4.2949195,0.18405546476255832,,,17,91.635931151
08511434+1141091,140112002802086,604909726615246080,0,5790.37,75.42553181316994,4.4231763,0.1881334118138334,0.015960217,0.05196654296200472,0,73.6215001238
08512467+1143061,140112002802096,604910276371045376,1,5432.0073,74.77232573581162,4.264721,0.19026970657817724,0.30775785,0.05030444433778736,0,79.9127672661
08512890+1143087,140112002802097,604910237715563904,128,5214.8057,89.11760264889222,4.4134297,0.1970378342453292,0.027862072,0.06706031899011725,18,38.0173720974
08513174+1145087,140112002802101,604916426764196224,0,5223.238,87.28370217883698,4.5368085,0.1938921817459261,0.013558388,0.06901283935457594,0,36.743622251
08510068+1140412,140112002802133,604909142499704704,0,5309.3433,82.77745917712502,4.4671216,0.19212649208356108,0.017085552,0.06053758598778025,0,49.703219136
08512176+1144050,140112002802139,604910546953207680,0,5783.6724,71.89830383130386,4.2282877,0.1814606769233329,0.019943714,0.046453928487891,0,104.263086586
08504712+1142547,140112002802140,604912402379032704,0,5835.203,71.26320203478345,4.32885,0.18113192657315588,-0.07774544,0.04543409915109418,0,117.025701601
08510399+1142239,140112002802141,604910654328188032,0,5946.1353,73.80484526160932,4.2779245,0.19105665402085012,-0.30750132,0.049021216550096905,0,88.300171059
08510576+1143469,140112002802145,604910860486613632,0,5665.9253,71.7134095468439,4.08496,0.18267627497623276,-0.47790098,0.0453924200431589,0,129.161281778
08505415+1141301,140112002802146,604909417377615104,0,5592.5464,82.63677886049909,4.478541,0.19546374615571235,-0.91403913,0.06779318227316149,0,54.1526141475
08505334+1143399,140112002802148,604913918503337728,0,5605.039,72.77653410784671,4.255541,0.1827231893737214,-0.059387684,0.04533802348850831,0,103.094532477
08510992+1146169,140112002802152,604911650760586624,0,5650.3394,73.05683276738843,4.3428245,0.1847959303640709,-0.07405138,0.04686106931205533,0,99.3163857976
08504401+1142494,140112002802163,604912471098638720,0,4897.2993,87.50716850651844,4.4647956,0.19985720772592513,-0.22179365,0.06739293484969991,0,42.8673607685
08510736+1146278,140112002802168,604911547681374080,0,5385.182,82.63384851366135,4.5352025,0.19690412745075855,0.049197674,0.06115140887102883,0,50.1640358476
08505230+1145035,140112002802170,604914021582551168,0,5667.9,75.93600803722164,4.4123683,0.18508760281309375,-0.0387578,0.051257795495768754,0,76.2694601544
